ID Ano Mes Dia Hora Min Prec
YOPAL 2009 11 2 13 40 0.3
YOPAL 2009 11 2 13 50 0.1
YOPAL 2009 11 2 14 0 0.2
YOPAL 2009 11 2 14 20 0.2
YOPAL 2009 11 2 14 30 0.1
YOPAL 2009 11 2 14 50 0.1
YOPAL 2009 11 2 15 20 0.1
YOPAL 2009 11 2 15 30 0.1
YOPAL 2009 11 8 15 20 0.6
YOPAL 2009 11 8 15 30 2.3
YOPAL 2009 11 8 15 40 0.8
YOPAL 2009 11 12 16 20 0.2
YOPAL 2009 11 12 17 0 0.1
YOPAL 2009 11 12 17 10 0.1
YOPAL 2009 11 12 17 20 0.1
YOPAL 2009 11 12 17 40 0.1
YOPAL 2009 11 12 17 50 2.9
YOPAL 2009 11 12 18 0 2.5
YOPAL 2009 11 12 18 10 0.7
YOPAL 2009 11 12 18 20 0.2
YOPAL 2009 11 12 18 30 0.3
YOPAL 2009 11 12 18 40 0.4
YOPAL 2009 11 12 18 50 0.4
YOPAL 2009 11 12 19 0 0.7
YOPAL 2009 11 12 19 10 0.6
YOPAL 2009 11 12 19 20 0.4
YOPAL 2009 11 12 19 30 0.6
YOPAL 2009 11 12 19 40 0.7
YOPAL 2009 11 12 19 50 0.5
YOPAL 2009 11 12 20 0 0.5
YOPAL 2009 11 12 20 10 0.4
YOPAL 2009 11 12 20 20 0.4
YOPAL 2009 11 12 20 30 0.4
YOPAL 2009 11 12 20 40 0.2
YOPAL 2009 11 12 20 50 0.2
YOPAL 2009 11 12 21 0 0.3
YOPAL 2009 11 12 21 10 0.2
YOPAL 2009 11 12 21 20 0.2
YOPAL 2009 11 12 21 30 0.2
YOPAL 2009 11 12 21 40 0.1
YOPAL 2009 11 12 22 50 0.1
YOPAL 2009 11 13 19 0 7.8
YOPAL 2009 11 13 19 10 0.9
YOPAL 2009 11 13 19 40 0.9
YOPAL 2009 11 13 19 50 0.1
YOPAL 2009 11 13 20 20 0.8
YOPAL 2009 11 13 20 30 0.8
YOPAL 2009 11 13 20 40 1.7
YOPAL 2009 11 13 20 50 1.4
YOPAL 2009 11 13 21 0 1.8
YOPAL 2009 11 13 21 10 0.4
YOPAL 2009 11 13 21 20 0.1
YOPAL 2009 11 13 21 30 2.9
YOPAL 2009 11 13 21 40 2.7
YOPAL 2009 11 13 21 50 0.2
YOPAL 2009 11 13 22 10 0.2
YOPAL 2009 11 13 22 20 0.2
YOPAL 2009 11 13 22 50 0.2
YOPAL 2009 11 13 23 0 0.1
YOPAL 2009 11 14 1 50 0.2
YOPAL 2009 11 14 2 10 0.1
YOPAL 2009 11 14 3 0 0.1
YOPAL 2009 11 14 3 10 0.1
YOPAL 2009 11 14 3 20 0.2
YOPAL 2009 11 14 3 30 0.2
YOPAL 2009 11 14 3 40 0.1
YOPAL 2009 11 14 3 50 0.1
YOPAL 2009 11 17 17 20 0.1
YOPAL 2009 11 17 19 30 0.7
YOPAL 2009 11 17 19 40 2.1
YOPAL 2009 11 17 19 50 5.7
YOPAL 2009 11 17 20 0 0.2
YOPAL 2009 11 17 20 10 0.4
YOPAL 2009 11 17 20 20 0.4
YOPAL 2009 11 17 20 30 0.4
YOPAL 2009 11 17 20 40 8.3
YOPAL 2009 11 17 20 50 2.3
YOPAL 2009 11 17 21 0 0.2
YOPAL 2009 11 17 21 20 0.1
YOPAL 2009 11 17 21 30 0.1
YOPAL 2009 11 17 22 30 0.1
YOPAL 2011 2 9 5 0 0.1
YOPAL 2011 2 9 5 10 0.1
YOPAL 2011 2 9 5 20 0.1
YOPAL 2011 2 9 5 30 0.1
YOPAL 2011 2 17 0 0 0.1
YOPAL 2011 2 17 11 0 0.1
YOPAL 2011 2 27 4 0 2.5
YOPAL 2011 2 27 4 10 7.5
YOPAL 2011 2 27 4 20 2.1
YOPAL 2011 2 27 4 30 0.6
YOPAL 2011 2 27 4 40 1
YOPAL 2011 2 27 4 50 2
YOPAL 2011 2 27 5 0 0.7
YOPAL 2011 2 27 5 10 0.9
YOPAL 2011 2 27 5 20 0.9
YOPAL 2011 2 27 5 30 0.5
YOPAL 2011 2 27 5 40 0.5
YOPAL 2011 2 27 5 50 0.4
YOPAL 2011 2 27 6 0 0.4
YOPAL 2011 2 27 6 10 0.2
YOPAL 2011 2 27 6 20 0.2
YOPAL 2011 2 27 6 30 0.2
YOPAL 2011 2 27 6 40 0.4
YOPAL 2011 2 27 6 50 0.3
YOPAL 2011 2 27 7 0 0.3
YOPAL 2011 2 27 7 10 0.3
YOPAL 2011 2 27 7 20 0.4
YOPAL 2011 2 27 7 30 0.4
YOPAL 2011 2 27 7 40 0.3
YOPAL 2011 2 27 7 50 0.2
YOPAL 2011 2 27 8 0 0.1
YOPAL 2011 2 27 8 10 0.2
